,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,7 January 2014,Hitchcoc,8," A Mile a Minute
","After reading some of the previous reviews, I wonder what it takes to engage the modern viewer. It seems we have become so jaded that we see the necessity of giving a one star review to something as phenomenal as this film is. It is filled with action, sets of remarkable creativity, amazing characters, in a complex plot that made me long for the conclusion. I know it doesn't follow the book religiously. Get over that. Even a fifteen hour miniseries based on a novel fails miserably. Of course, every English teacher on the planet knows that we are working in two entirely different mediums. Books and movies are different! What Peter Jackson has done is taken the primary plot and allowed his script writers to take what is given and supplement it with their own creativity. The first film, though imperfect, does set the stage for this superior second effort. What we get is nonstop action, moving the characters toward the object of their quest. Tolkien's rules are followed if not the letter of the plot. The first film was criticized for being too talky. Now this one is being criticized for not being talky enough. For me, the scene where the gang must escape an elven prison and face the orcs is one of the most delightful fifteen minutes I've ever spent in a movie theater. I don't expect an action film based on a book with voluminous characters to have character development like ""Driving Miss Daisy."" See the film for what it is and count yourselves lucky to have the luxury of being able to see the amazing accomplishments of the Peter Jackson's of the world.",/review/rw2937193/?ref_=tt_urv
1,28 December 2013,bob the moo,," Improves upon the first one just about enough to cover the weaknesses it shares with it
","After seeing the first Hobbit film I must admit that I could have cared less about seeing the second and indeed it took me a minute to get back into it and I was grateful for the film giving me a ""12 months earlier"" scene to sum up what I am supposed to be following. It wasn't that the first film was bad (it is too expensive to be bad) but more than constant action and movement with no consequences or realism to engage me, really left me looking at a video game that I had no investment in (and I say this as a gamer). I didn't hope for much better when I went to see this sequel and, as Theo Robertson has said, perhaps this helped me enjoy the Desolation of Smaug more.",/review/rw2930071/?ref_=tt_urv
2,3 January 2015,Quinoa1984,6," Smaug rules, and the rest of the movie... is okay (thought I'd say 'drools' didn't ya)
","Bilbo is supposedly the lynch-pin of this whole story - hell, it's called 'The Hobbit' after all, and it's about (as the song in the 1977 animated film starts, 'The greeeeatest adventurrrre') - but damn if you'd know it watching the majority of this entry. I say the 'majority' as he does show up in large part at the end, when it comes time to enter the castle in the mountains and the face-off against the dragon, Smaug, who has hoarded over the dwarfs' gold. But with the exception of a few scenes scattered about, it felt like there was a lack of Bilbo, which is a shame since Martin Freeman is so moving and funny and on-point in this role of the quirky 'straight-man' to these much quirkier, rambunctious dwarfs led by who is arguably the real protagonist - or co-protagonist - Thorin Oakensheild.",/review/rw3154641/?ref_=tt_urv
3,12 December 2013,tlotr_tloz,6," Decent fantasy-action slightly inspired by The Hobbit
","Most reviews will tell you what's so great about this movie and why it's worth watching, but I figured you should hear the other side of the story.",/review/rw2920845/?ref_=tt_urv
4,20 December 2013,TheLittleSongbird,8," Some disappointing things, many good things and one magnificent asset- liked it very much
","Having really enjoyed An Unexpected Journey, though it was a long way from perfect, last year, a family cinema outing for this was guaranteed. And it was worth the wait, Dad and I liked it a little less than my brother, sister and godparents(die-hard LOTR and Hobbit fans by the way) but all of us found a lot to enjoy, more so than An Unexpected Journey. Desolation of Smaug also shares imperfections, Azog is still a very one-dimensional villain and doesn't add a lot to the story(Bolg is no better either actually); the love triangle felt forced and shoe-horned in for the sake of it, including a bit that is like an inferior copy of Arwen and Arogorn; Beorn is criminally underused and any signs of development with him is rushed; the Mirkwood scene is far too short though the atmosphere was good; Gandalf deserved more to do with only his encounter with Sauron and perhaps the beginning really standing out for him; and the ending is very abrupt with a pointless, too long and really overly-silly battle between Smaug and the dwarfs(Smaug's final line was incredibly chilling though!).",/review/rw2925610/?ref_=tt_urv
5,30 November 2017,Platypuschow,7," The Hobbit The Desolation of Smaug: Alike the first, impressive but not ground breaking
","The Lord Of The Rings trilogy blew me away, they were truly outstanding masterpieces that deserved every bit of recognition they got.",/review/rw3871010/?ref_=tt_urv
6,11 December 2013,GrassCrown,4," The Desolation of CGI - the Hobbit trilogy continues to disappoint
",I saw the movie in 2D because I hated the 3D HFR in the first Hobbit movie. I thought the HFR just made the movie sets look like sets instead of being part of the movie universe. I much preferred the 2D experience here and it was easier for me to try to immerse myself in the movie. Regrettably there were too many things that were wrong with the movie for me to achieve that. ,/review/rw2920463/?ref_=tt_urv
7,19 December 2013,neil-476,8," Great fun, but forget the book
","Bilbo Baggins and assorted dwarfs continue their journey to Erebor, overcoming various obstacles on the way (including hostile elves) before Bilbo has to try to fulfil his engagement as burglar under the fiery snout of antisocial dragon Smaug.",/review/rw2924391/?ref_=tt_urv
8,11 December 2013,helge-fauskanger,7," The word you're looking for is ""reimagining""
","I won't ""review"" the content of the movie in any detail, but provide some thoughts about how this film should be approached. I consider myself a Tolkienist (in fact I saw this movie on opening night because I secured a promotion deal with the local cinema: I spent four hours until midnight writing people's names in Elvish writing!) It is to be expected that many fans of of the original book will perceive this movie as a bloated, garbled monster version of the written story they loved. It is important to realize, before going in, that this is not simply ""the movie of the book"". This is Jackson's The Hobbit, not Tolkien's, and they are best appreciated as independent works. They represent different media, come from different centuries, and have partly different target audiences. The children's book was written before Tolkien had any idea of the grand trilogy to follow; Jackson had already produced his Lord of the Rings trilogy and somewhat understandably tries to make the prequels resemble it, in tone and scope.",/review/rw2920368/?ref_=tt_urv
9,11 January 2014,tomgillespie2002,4," The sounds of Tolkien shouting ""Fool of a Took!"" from his grave won't be worrying Jackson
","When we finally get to meet the magnificent dragon Smaug, voiced by Benedict Cumberbatch, at the climax of Peter Jackson's second instalment of his The Hobbit trilogy, we find him curled up beneath an enormous stash of gold coins and jewels, blissfully in the land of nod. After sitting through over two hours of this slog of a film, it's precisely where I wished I was. The Desolation of Smaug is yet further evidence that 9 hours worth of movies is not needed for Tolkien's delightful - and slim - novel. It feels like - to quote Ian Holm's Bilbo Baggins from The Fellowship of the Ring (2001) - thin, like butter scraped over too much bread.",/review/rw2939323/?ref_=tt_urv
