,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 January 2013,bob the moo,," A visual feast but yet I wasn't gripped by the story or characters as much as I should have been
","When I heard that there was to be a film version of The Hobbit, I was quite looking forward to it as the big finish of Lord of the Rings was still in my mind and, unlike LotR, I had actually read The Hobbit several times many years ago. When I heard that it might be two films I wasn't surprised but the news that it was to be three did rather dampen my spirits as I don't know if I had the interest for this story to be concluded as 2016 rolls into town. Regardless I did of course watch the film because it is still a large blockbuster and, at a time of the year normally filled with overly earnest Oscar contenders, I did quite like the idea of returning to this world again.",/review/rw2743686/?ref_=tt_urv
1,15 September 2020,pmtelefon,8," It keeps getting better every time I see it
","I've seen ""The Hobbit: An Unexpected Journey"" quite a few times now. I like it a lot. The first few times I watched it I found it hit and miss. The movie still takes a couple of dips here and there but those parts don't bother me as much as they used to. Now the only demerit I give this movie has to do with its length. It's a about twenty minutes too long. Otherwise, ""The Hobbit: An Unexpected Journey"" is a very exciting and emotional ride. It's also a great looking movie with very good music. This movie is always a welcome visit.",/review/rw6095862/?ref_=tt_urv
2,28 September 2022,kevin_robbins,9," This is an underrated gem that gets overshadowed by the greatness of Lord of the Rings
","The Hobbit: An Unexpected Journey (2012) is a movie I originally saw in theaters, is in my DVD collection and I recently rewatched with my daughter on HBOMAX. The storyline for this picture involves our old friend, Bilbo Baggins, as a youth when Gandalf the wizard shows up at his door about an adventure. Bilbo says no but that night 12 dwarfs show up at his door and tells him a story about a dragon that stole their homeland and gold. They would like to return home, regain their kingdom and need Bilbo's help to make that happen. Bilbo will try to say no, but we all know he can't.",/review/rw8573450/?ref_=tt_urv
3,20 December 2020,auuwws,8," The Hobbit: An Unexpected Journey
","A very good start to the series. Very sensitive for the rest of the process, even though the movie was slow for the first half hour, it didn't affect my experience that much. The story is fun and interesting. Most of the film's protagonists were fun and watching Gandalf bring back memories of The Lord of the Rings. Filming and directing dazzles you and makes you wish to live in the world of cinema, especially in the Elf area. Although the film is not at the level of The Lord of the Rings, it is still excellent.",/review/rw6383152/?ref_=tt_urv
4,9 April 2013,Tweekums,7," The first of three long films based on a short book
","As this film opens an elderly Bilbo Baggins explains how the once great Dwarfs were forced out of their mountain kingdom by the dragon Smaug. He begins to talk of a great adventure and we are transported back to shortly before the adventure began when a young Bilbo meets the wizard Gandalf the Grey. He invites Bilbo on an adventure but he declines; the next day thirteen Dwarfs turn up at Bilbo's home believing that they have been invited. They tell him of their quest but he initially refuses; he has no desire to leave home. The next morning he changes his mind and so begins a quest that will see them fighting trolls, orcs and goblins as well as meeting elves, another wizard and in Bilbo's case the somewhat crazed Smeagol who will become a lifelong enemy following the theft of a certain ring.",/review/rw2779890/?ref_=tt_urv
5,17 October 2022,and_mikkelsen,8," Not groundbreaking but still a great fantasy experience!
","I Remember the first time i watched this movie in the cinema and i did not like it as much i thought i would! Maybe it was because my hopes were very high after LOTR and while this movie gad elements from that, it didn't reach the same level in terms of story and visuals!",/review/rw8617300/?ref_=tt_urv
6,24 August 2020,G00fhunter,8," An Unexpected Movie
","Let me start by saying that i have never watched any of the Lord of The Rings movies before.I was told to start with the hobbit. I was amazed at how cool this franchise must be as i loved every minute of it.I kinda feel ashamed for not giving this series a try earlier. 8/10 from me ,yeah that good.",/review/rw6022492/?ref_=tt_urv
7,14 February 2020,0U,," The Hobbit
","It's definitely no LOTR...But it's still a pretty cool movie. Sure, it took it's time to try to tell the story and dragged on for a little too long, but other than that, the special effects were great, and it was entertaining as hell. It's a good introduction to The Hobbit franchise.",/review/rw5483799/?ref_=tt_urv
8,5 July 2013,kosmasp,8," The Ring: Beginning
","I never came around to read the LotR books before watching the movies and I actually haven't done that until now (so maybe shame on me), but I did read 30-40 pages of the Hobbit. And it seems, like almost everyone of those pages turns out to be in the movie. It's a big scene and it feels like Peter Jackson put almost everything in it. He apparently also put other Tolkien related stuff in it.",/review/rw2825612/?ref_=tt_urv
9,28 September 2022,CubsandCulture,9," The best of the Hobbit films. I wish the series was has good as the 1st half of this film
","I know people in general think the start of this film-basically everything prior to the Misty Mountains-is too slow and padded beyond what it should. I disagree. I think the first hour, hour fifteen minutes of this film is of the same quality as the LOTR. I wish the rest of the Hobbit films were as good as cinema and as thoughtful as adaptation as the first half. Instead the Hobbit series gets very action-y and very Hollywood after that point.",/review/rw8573263/?ref_=tt_urv
