,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,7 March 2006,ccthemovieman-1,10," First, And Still The Best Of LOTR
","Here is one film that lived up to its hype, and by the time I saw it after it had arrived at the video stores, I had heard and read a ton of things about it, and seen all the awards it had received, and expected a lot. To my surprise, it did not disappoint.",/review/rw1308663/?ref_=tt_urv
1,11 November 2014,adamscastlevania2,10," Thank you Mr Jackson
","(95%) If the late 70's early 80's had the Star wars trilogy, then the 2000's had this epic fantasy masterclass. Regardless of whether you're a fantasy fan or not this is too good a movie to simply pass up, and it will be one of those movies that given time will prove it to be a classic. The deeper you look into this the more one notices that every single aspect really is a truly impressive accomplishment. The fact that every single sword used by the main characters was made by hand, with extra ones made only for carrying, fighting, etc, then there's the costumes/armor/props all made by teams of many people. They even made artificial trees for gods sake. But really all those things are just extras, what really makes this a unique watch is that it really does feel huge and sweeping, the sense of scale is fantastic and I can't think of anything that even comes close to matching it. What every epic flick needs this has, the cast is great, it's exciting, it has bags of character, it's funny, sad, superbly well made, with a great score and plenty of action. It's also one of very few 2 hour 30 minute + movies ever that leaves the audience wanting more. Since watching it around Christmas 2001 at a packed out cinema, and the many times I've seen it on DVD since, it never fails to impress and charm. All in all near perfect cinematic treat that keeps on giving.",/review/rw3121701/?ref_=tt_urv
2,8 August 2020,mfellipecampos,10," Masterpiece
","It took me a while to watch this film (2020), but it was the best I've ever seen, it is just fantastic, it needs no praise, I dare say that the Lord of the Rings trilogy is the best cinematographic work ever produced by mankind. Perfect.",/review/rw5975406/?ref_=tt_urv
3,14 April 2006,bonnie91,10," The Fellowship of the Ring: Not just a Movie, but the Door to another Dimension
","The first part of the Lord of the Rings trilogy, the Fellowship of the Rings opened the door to a whole new world for me. I'd never read any of Tolkien's books when I saw the film for the first time at the theatre and, now that I've read them, in retrospect I think being a neophyte to the mythology made my LOTR movie experience all the more miraculous.",/review/rw1341630/?ref_=tt_urv
4,7 March 2021,mosquitobite,10," How the hell did they film this thing
","An incredible feat
Enthrals anew every time
Cannot believe its two decades ago
Love it so much",/review/rw6669081/?ref_=tt_urv
5,15 February 2020,0U,," Great
","It is my firm belief that the standard versions of The Lord of the Rings should be jettisoned in favour of the extended editions universally. Sure, the near 4 hour runtime is a tad steep, but for an absolute masterpiece like this, it's work every second and the first act of undoubtedly the best trilogy in cinematic history!",/review/rw5484997/?ref_=tt_urv
6,19 August 2016,Leofwine_draca,10," Near perfect adaptation of a fantasy benchmark
","Director Peter Jackson and wife Fran Walsh have successfully created an epic movie in both look and feel to equal J. R. R. Tolkien's novel (itself awarded the title of ""book of the century""), bringing to the big screen a film nearly flawless in its execution. My biggest disappointment is that two chapters are missing from the novel - Tom Bombadil and the following encounter with the barrow-wrights - but everything else is present and correct.",/review/rw3528189/?ref_=tt_urv
7,22 December 2005,classicsoncall,10," ""Remember what Bilbo used to say, it's dangerous business Frodo, going out the door.""
","When I first read ""The Hobbit"" and ""The Lord of the Rings"" Trilogy back in the early 1970's, I recall saying to myself that the story would make a wonderful movie. ""Star Wars"" still hadn't come out yet, and realizing that the available technology could not do justice to the fantastic world presented by J.R.R. Tolkien, it was simply best left to the imagination.",/review/rw1245074/?ref_=tt_urv
8,16 September 2023,Sleepin_Dragon,10," One of the best films ever made.
","A mild mannered hobbit named Frodo, back by eight companions has to face all manner of danger, battling many foes in order to save Middle Earth.",/review/rw9326626/?ref_=tt_urv
9,14 June 2019,EVON1TY,10," An amazing beginning of the trilogy. An amazing end of the movie.
","""For the time will soon come when Hobbits will shape the fortunes of all.""
",/review/rw4933878/?ref_=tt_urv
10,2 May 2002,NRGWasp,10," An absolutely incredible film!
",Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.,/review/rw0460052/?ref_=tt_urv
11,5 March 2020,martimusross,10," Unbelievably Good That Stands The Test Of Time
",The Lord Of The Rings Trilogy,/review/rw5528586/?ref_=tt_urv
12,13 August 2022,griffithxjohnson,10," Absolute game changer
","Absolutely epic! The scale is truly mind blowing. Every filmmaking aspect is beyond incredible. Especially the score, set design & dialogue. The emotional weight & amazing battles seal it.",/review/rw8442295/?ref_=tt_urv
13,26 August 2008,fearfulofspiders,10," The Fantasy Motion Picture to Rule Them All...
","Barely ever hearing of The Lord of the Rings, I went in to see this film in theaters the consecutive Friday it was released, to not only be flabbergasted at its greatness, but wanting more! Since then, I devoted myself to seeing the following two films on the first day of release -- a promise I kept.",/review/rw1936190/?ref_=tt_urv
14,3 January 2022,mrashtastic89,10," One ring and three movies to rule them all.
","It took me 14 years and a subscription to HBO Max to get around to watching this movie, and I can certainly say it was worth every bit of hype it gets. The Fellowship of the Ring was an epic start and one of the best fantasy adventure films I've ever seen. These action sequences are immaculate, and it is a gorgeously directed movie, the cinematography was so good I couldn't get enough.",/review/rw7716787/?ref_=tt_urv
15,26 April 2022,david-meldrum,10," We May Have Forgotten Just How Good This Is
","It's possible we've become too familiar with this film and its two successors. Time, and multiple rewatching as, can cause us to forget how impossible the whole project seemed before the world saw it; we forget how strange and independent spirited parts of it are; we forget the references too and evidence of Jackson's roots in horror cinema; we forget the narrative excitement that propels a film adapted from a source that is more discursive, more of a scene-setter. Changes made from the text aid this, and the result is thrilling and wonder-inducing. It's a masterful piece of epic fantasy cinema, and the whole trilogy's place in my heart is secure.",/review/rw8092978/?ref_=tt_urv
16,25 January 2022,Slarkshark,10," The First Installment of the Greatest Trilogy
","The beginning of the greatest trilogy started with the Fellowship. The music, the landscapes, the characters, and of course the story, all come together in perfect melody. Tolkien created this magical world and story, but Jackson brought it to us in a way we never thought possible. And the best part was... there were two more movies after this.",/review/rw7797456/?ref_=tt_urv
17,21 June 2021,Puroo,10," RPG Game: The Movie
","I had begun watching The Lord of the Rings because of all the memes and references in other movies and shows. And that was probably an excellent decision. It has been a year since I have watched these and since the story is distributed among all the three movies, I have decided that I will talk about something unique each of them. In total these movies clock over 10 hours, and I can imagine how much the fans of the book must have loved it when they learnt they are getting so much content from a book they love reading so much.",/review/rw7051410/?ref_=tt_urv
18,3 August 2005,dee.reid,10," From the beginning...
","...I wasn't sure anyone would have ever guessed (except in a 2004 Fangoria magazine article written by Mexican visionary Guillermo del Toro) that New Zealand native Peter Jackson, the director behind the ""goriest movie ever made"" (1992's ""Dead Alive""), would have been behind the epic three-film installment of ""The Lord of the Rings"" saga, which include ""The Fellowship of the Ring"" (2001), ""The Two Towers"" (2002), and Best Picture Oscar-winner ""The Return of the King"" (2003).",/review/rw1141815/?ref_=tt_urv
19,29 November 2014,Geeky Randy,10," The greatest fantasy film of all-time
","An absolutely gorgeous adaptation of J. R. R. Tolkien's first LORD OF THE RINGS installment detailing how well-meaning young hobbit Wood unwittingly inherits a ring from his adventurous uncle Holm which possesses a dark force that is powerful enough to end all life in Middle-Earth. Visually wondrous even for those who aren't that into the fantasy genre. This installment is particularly charming for less action and more character development and, for some reason, the Middle-Earth lingo works really well in this movie over the second and third films. Although FELLOWSHIP merely teases the viewer with the appearance of Gollum—while TWO TOWERS and RETURN are basically owned by Serkis as Tolkien's timelessly wretched creature who's not quite friend or foe—the movie is just too lovable to really even need his inclusion. McKellen is perfect as Gandalf the Grey, and Bean's performance brings to the foreground the genius of all these characters who suffers from similar temptations and weaknesses that we do in reality. It is FELLOWSHIP that holds the clearest mirror up to us, while the following two films kind of just linger in the wartime aftermath. The greatest fantasy film of all-time.",/review/rw3132714/?ref_=tt_urv
20,6 February 2020,Offworld_Colony,10," Perfect Film.
",Focus on the fantastic artistic synthesis of concerning hobbits and the founding of the fellowship in a post 9/11 world.,/review/rw5463068/?ref_=tt_urv
21,30 November 2007,mstomaso,10," Part One: With Help, Even the Impossible Can Be Achieved
","Peter Jackson set out to make movies which the author of the Lord of the Rings trilogy, J.R.R. Tolkien would have endorsed. All three were resounding successes, though because of the film medium they necessarily varied from Tolkien's story-line. Purists may have issues with Jackson's theatrical license, but as someone who has read Tolkien's books several times and seen the films 4-5 times each, I never felt that Jackson went too far or compromised Tolkien's story, the mythology he developed or the wonderful characters he brought to life. Many have said what Jackson did could not be done. He has not only proved the nay-sayers wrong, but lovingly crafted a set of films which will, for many decades to come, stand out as a great achievement. ",/review/rw1772666/?ref_=tt_urv
22,11 December 2001,minionlost,," Wow!
",Breathtaking.  Unique.  Captivating.  Enchanting.,/review/rw0458949/?ref_=tt_urv
23,28 March 2016,filipemanuelneto,10," The beginning of one of the greatest sagas of contemporary cinema.
","Based on the novel by J.R.R. Tolkien and directed by Peter Jackson, this is the first film in the trilogy ""The Lord of the Rings,"" one of the most striking and most profitable in recent cinema. The film is set in an imaginary world, Middle Earth, where humans coexist with fantastic creatures such as elves, dwarfs, orcs's hobbit's etc. In this film, the balance of this illusory world is at stake because of the war against the evil lord Sauron, who eagerly wants to dominate, corrupt and submit all forms of life. In the midst of these events, two hobbit's living in the Shire, a little-known part of Middle Earth, have the difficult task of hiding the weapon that can decide the course of the war: a ring that gives power to Sauron and he desperately seeks to recover.",/review/rw3440853/?ref_=tt_urv
24,8 October 2002,Rinaear,," Embrace the magic
","It is with no surprise that Peter Jackson's The Fellowship of the Ring film has received such mixed critics. Many viewers refer to it as being childish, boring and uninteresting. Seems to me that it is bound to the same fate of Tolkien's books, destined to be a target for the same type of misunderstandings that keep attacking this literary masterpiece many decades after it's first publication.",/review/rw0461286/?ref_=tt_urv
25,2 March 2006,Hitchcoc,10," I Don't Know if They Could Do It Much Better
","I am not fanatic, though I have read the books a couple of times. My interest in J. R. R. Tolkien goes to his knowledge of the history of language as well as his work in fantasy. I've seen some of the bad animation that was done using his work. I always assumed that this would be the only vehicle that could be used to bring these works to the screen. Now with a new generation of special effects masters, we have a work of art like the world has never seen. Granted, there can never be a definitive work that matches the depth and poetry of the books, but this captures the charm, the wonder, the amazing epic. To see the Shire presented in the first scenes and the party in the home of Bilbo as the creatures of this amazing fantasy are exposed is one of those incredible moments. The story is set up for the ultimate adventure as Frodo paddles out onto that lake, not knowing what has been set in motion. I will leave the real reviews to others. My first thought upon seeing this was, I just hope I survive to see it to its conclusion.",/review/rw1304439/?ref_=tt_urv
26,7 January 2002,Aaron1375,10," Never read the book, but loved the movie!
","I didn't know quite what to expect when I went into the theater, all I knew is that I wanted to see a fantasy film with sword fights, magic and monsters.  I was not disappointed.  It exceeded my expectations because it had all the stuff I mentioned and great acting, and good character development as well.  I was enjoying the movie so much that I was very disappointed when it ended.  I would have gladly stayed another six hours if the showed the next two installments of this flick.  That was the only bad part of the film is the abrupt ending, but I still give this movie a 10, because it is a trilogy and I was expecting it.  If you want to see a great movie, one that delivers where so many have promised, but failed to deliever then this is the film to see...even if you didn't read the book.  And for anyone who has read the book I would love to hear your take on the movie, just don't give anything away about the next two parts.",/review/rw0458494/?ref_=tt_urv
