,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 August 2010,Loving_Silence,10," An Epic in every sense of the word.
","Peter Jackson truly outdid himself when creating the Lord of the Rings: The Fellowship of the Ring and he fails to disappoint us in the 2nd part of the Trilogy. The Two Towers shows us that he is not a one-hit wonder, like so many directors are. I actually think that The Two Towers reaches the same level as the Fellowship of the Ring, and sometimes even surpasses it.",/review/rw2294579/?ref_=tt_urv
1,28 December 2005,classicsoncall,10," ""There's some good in this world Mr. Frodo, and it's worth fighting for.""
","""The Lord of the Rings"" continues it's epic quest in this second installment of the trilogy, as the original fellowship is disbanded and it's various members must continue the good fight. While Frodo and Sam pursue their mission to Mordor, Pippin and Merry manage to escape the Uruk hai into the Fangorn Forest and their own adventure with the Ents. Aragorn, Legolas and Gimli traverse the Riddermark into the realm of Rohan.",/review/rw1256649/?ref_=tt_urv
2,28 September 2020,auuwws,10," Great movie
",Great movie I really enjoyed watching and better than the first part,/review/rw6131698/?ref_=tt_urv
3,7 January 2005,grendelkhan,," Sophomore effort shines as brightly as the first.
","After Fellowship, the world wondered if Peter Jackson could sustain the momentum. The Two Towers is the shortest segment and the story is split into parallel tales. More characters enter the story, including one of the most important. Can Jackson do it? Of course he can.",/review/rw0993943/?ref_=tt_urv
4,25 March 2003,tfrizzell,," They Accomplished the Near-Impossible.
","""The Lord of the Rings: The Two Towers"" is another excellent installment in the thus far excellent trilogy. The film picks up immediately where ""The Fellowship of the Ring"" left off as Elijah Wood and Sean Astin continue their long and seemingly hopeless journey to destroy the One Ring in the fires of Mordor. They run into the creature Gollum (played amazingly by Andy Serkis in a revolutionary character-generation). Serkis' motives are unclear as the ring has literally run him insane and created a split personality that combats the character's natural good side. Meanwhile Billy Boyd and Dominic Monaghan have escaped the dark forces that captured them, but now are in another dilemma as they try to convince a forest of living, moving trees to support their cause for good and truth. Viggo Mortensen, Orlando Bloom and John Rhys-Davies receive more help from the likes of Bernard Hill's army and his lovely niece (Mirando Otto). As all this occurs, Ian McKellen comes back and rehashes a role which seemed to have expired late in the first film. Hugo Weaving and daughter Liv Tyler know that victory is not certain and realize that they must leave their true homes forever to protect themselves and the lives of their people. Christopher Lee continues to create chaos with the help of the highly disturbed Brad Dourif (of ""One Flew Over the Cuckoo's Nest"" fame). In the end not one, but two key battles will create the sure-to-be electrifying landscape which will be experienced by all in the franchise's final installment (""The Return of the King""). Many view ""The Two Towers"" as an achievement even more impressive than its predecessor. True the film does go beyond the technical faculties of ""The Fellowship of the Ring"", but it is hard for me to pick this installment over the first (which will likely always be my favorite). This film is more intense and you get the feeling of real danger and peril throughout, while the first was more of an emotional experience due to its nice elements of friendship, love and personal sacrifice. In short, ""The Lord of the Rings: The Two Towers"" is an amazing sequel and it fits in well with the outstanding first film. 5 stars out of 5.",/review/rw0586308/?ref_=tt_urv
5,19 March 2005,Boba_Fett1138,10," Absolutely, totally fantastic!
","Watching this movie is like watching a 179 or 223 minutes long action sequence. The pace is incredibly high. Alright I have to admit that the Extended Edition of the ""The Lord of the Rings: The Two Towers"" takes an awful lot of this pace away and make some of the scene's unnecessary long and the scene's with Treebeard are also a bit dull and long but still...Especially compared to the first that was just too slow at times this is an huge improvement!",/review/rw1042496/?ref_=tt_urv
6,8 March 2011,TheLittleSongbird,10," My personal favourite of the trilogy
","I do love all three films of The Lord of the Rings trilogy, all are visually stunning with wonderful music and strong narratives. The Two Towers is my personal favourite of the three for several reasons. For one thing it is less talky than Fellowship of the Ring, and the pace is a little more secure here. Also the final battle is just breathtaking in the action, direction and in its scope, and very compelling and epic. And some of the characters are developed more here than they were in Fellowship of the Ring primarily Frodo and Aragorn, who were played very well there but a little bland in comparison to here. ",/review/rw2395768/?ref_=tt_urv
7,19 December 2002,rc_whittle,10," A standing ovation for all concerned.
","It seems ridiculous to want to add my own comments to a slew of others that are already in IMDB's records, but I feel like I cannot sleep nor cease the throbbing in my chest until I release some of what I have so recently seen.",/review/rw0584853/?ref_=tt_urv
8,2 March 2023,EVON1TY,10," Helm's Deep could be the greatest battle sequence of all time.
",As you know Tolkien did a great job with creating the world. Also did a perfect job with writing the battles. Also It's not that easy to fitting that to the adaptation. The whole cast did pretty perfect job with The Two Towers. I know whole Trilogy made in same time. Only the film editors are changing through the trilogy. So they managed a great job making these movies.,/review/rw8902064/?ref_=tt_urv
9,3 March 2023,EVON1TY,10," One of The Best battle sequence.
","Even if I watched this movie, like more than 20 times, still I feel nearly the same as I first watch.",/review/rw8904139/?ref_=tt_urv
10,27 January 2003,Theo Robertson,9," My Visit To The Cinema
","Don`t you just hate cinemas ? No matter where you sit you always end up surrounded by people who spend their time chatting amongst themselves as to the events on screen 30 seconds before they happen . If we`re after a running commentary we`ll buy the DVD thank you very much . Add to this unattended mad mental kids running around wild . In fact many years ago our local newspaper saw a no holds barred letter of complaint about a screening of 3 MEN AND A LITTLE LADY which referred to foul mouthed juvenile delinquents in the audience . And on top of all this I`m a chainsmoker and cinema chains don`t allow patrons to poison themselves or others with nicotine so as a rule I don`t visit cinemas . But it`s a rule I broke in order to see THE TWO TOWERS because I was literally dying to see it . So I booked my ticket well in advance for the premier screening in Rothesay on the 26th of January , popped into the cinema that night and demanded to be entertained",/review/rw0586146/?ref_=tt_urv
11,18 December 2002,JohnLennon1985,10," My precious...
","Seriously, I never thought a movie could get better than the Fellowship of the Ring, but it did. This movie should be #1 on the IMDb top 250. This movie, as long as it was, captivated me from start to finish, and those who are not entertained by this movie can not be entertained period.",/review/rw0584668/?ref_=tt_urv
12,3 April 2023,Xstal,8," The Wooded Claw...
","The quest to melt the ring in Doom continues, as two Hobbits and a Gollum lacking sinews, crossing marshes full of dread, towards the Black Gate's where they head, and then they're captured by the brother, of one once dear (although he was somewhat affected by the ring before expiring). After fleeing from an evil band of orcs, another pair of Hobbits sit with stalks, of an Ent known as Treebeard, who gets annoyed when friends are sheared, summons brethren, and against the foe they walk. Helm's Deep provides the backdrop for a battle, where sabres, swords and axes are all rattled, but walls come tumbling down, as the Uruk-hai hit town, when their hoards stampede and charge like crazy cattle.",/review/rw8969593/?ref_=tt_urv
13,30 December 2004,Mithrindir,10," A True Fantasy Movie
","From the beginning to the very end, the Lord of the Rings trilogy is interesting and enjoyable. The books and the movies alike grasp one's attention as if they were real. You, the reader or viewer, can sense the pain of the characters, their emotions. The trilogy is truly powerful on screen. The second movie, however, I believe has something the first and third are missing; it feels like a bridge connecting two great islands. There is something unique about it that cannot easily be described. Metaphorically, the first movie is, say, a soldier. The third movie is the path home from war. And the second movie is the act of coming home because it contains the obstacles that must be passed through before achieving the goal. Although not 100% loyal to the written trilogy, the movies are done in such a way that the mainstream audience and LOTR fans from before the movies came out can say they were enjoyable and well made.",/review/rw0988588/?ref_=tt_urv
14,23 September 2023,Sleepin_Dragon,10," A magical film.
","Frodo and Sam continue with their dangerous journey, desperately trying to reach Mordor to destroy the ring, aided by Gollum, who is still conflicted about helping the hobbits.",/review/rw9338411/?ref_=tt_urv
