,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,How does the tendency to avoid inconsistency contribute to people being reluctant to change?,"['Five: Inconsistency-Avoidance Tendency\n[People are] reluctant to change, which is a form of inconsistency\navoidance. We see this in all human habits, constructive and\ndestructive. Few people can list a lot of bad habits that they have\neliminated, and some people cannot identify even one of these.\nInstead, practically every one has a great many bad habits he has\nlong maintained despite their being known as bad. Given this sit-\nuation, it is not too much in many cases to appraise early-formed\nhabits as destiny. When Marley’s miserable ghost says, “I wear the']","The tendency to avoid inconsistency contributes to people being reluctant to change because individuals are often hesitant to alter their habits, whether constructive or destructive. Many people struggle to eliminate bad habits, even when they are aware of their negative impact. This resistance to change is deeply ingrained, with some early-formed habits being perceived as destiny. Therefore, the fear of inconsistency and the comfort of familiar habits can hinder individuals from embracing change.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 155, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
1,What are some of the challenges faced by startups in establishing necessary systems and routines for success?,"['structure that any established company has.\nIn a startup it is very easy for the code to not get written, for the\nuser interfaces to not get designed… for people to not come into\nwork… and for the wastebaskets to not get emptied.\nYou as the founder have to put all of these systems and routines\nand habits in place and get everyone actually rowing — forget\neven about rowing in the right direction: just rowing at all is\nhard enough at the start.\nAnd until you do, absolutely nothing happens.\nUnless, of course, you do it yourself.\nHave fun emptying those wastebaskets.']","In a startup, it is easy for the code not to get written, user interfaces not to get designed, people not to come into work, and wastebaskets not to get emptied. The founder must establish systems, routines, and habits to ensure everyone is working together towards a common goal. Without these in place, nothing will happen unless the founder takes on all tasks themselves.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 9, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
2,What factors should be considered when deciding what to study in college?,"['Part 2: Skills and education\n[Please read my opening disclaimers. Note especially that these\nare only personal views; I am not trying to malign anyone else’s\nchoice of career or education path. These are simply the\nthings I would want to be told if I were entering college today.]\nThis post discusses skills acquisition throughout your lifetime,\nincluding your formal education. So I will start with college and\nmove on from there.\nWhat should I study in college?\nSome people argue that college will be your one chance in life\nto pursue your passion — to spend four years doing nothing but']",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 111, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
3,What should be valued when evaluating candidates for a startup?,"[""How to hire the best people you've\never worked with\nThere are many aspects to hiring great people, and various peo-\nple smarter than me have written extensively on the topic.\nSo I’m not going to try to be comprehensive.\nBut I am going to relay some lessons learned through hard\nexperience on how to hire the best people you’ve ever worked\nwith — particularly for a startup.\nI’m going to cover two key areas in this post:\n•\nCriteria: what to value when evaluating candidates.\n•\nAnd process: how to actually run the hiring process, and if\nnecessary the aaermath of making a mistake.\nCriteria 7rst""]",The answer to given question is not present in context,simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 73, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
4,What are the consequences of not raising enough money for the survival of your company?,"['Here’s why you shouldn’t do that:\nWhat are the consequences of not raising enough money?\nNot raising enough money risks the survival of your company,\nfor the following reasons:\nFirst, you may have — and probably will have — unanticipated\nsetbacks within your business.\nMaybe a new product release slips, or you have unexpected\nquality issues, or one of your major customers goes bankrupt, or\na challenging new competitor emerges, or you get sued by a big\ncompany for patent infringement, or you lose a key engineer.\nSecond, the funding window may not be open when you need\nmore money.']","Not raising enough money risks the survival of your company for several reasons. First, you may encounter unanticipated setbacks within your business, such as delays in product releases, unexpected quality issues, loss of major customers, emergence of new competitors, legal issues like patent infringement, or key personnel leaving. Second, the funding window may not be open when you require additional funds.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 47, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
5,How does Structured Procrastination suggest using procrastination to your advantage in getting things done?,"['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']","Structured Procrastination suggests that instead of fighting the tendency to procrastinate, you should embrace it and use it to your advantage by getting other tasks done while procrastinating on the main task. By doing this, you can still be productive and accomplish other important things even when avoiding the main task.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
6,What analogy is used to describe the layers of risk in a startup investment?,"['as if it’s an onion. Just like you peel an onion and remove each\nlayer in turn, risk in a startup investment comes in layers that\nget peeled away — reduced — one by one.\nYour challenge as an entrepreneur trying to raise venture capital\nis to keep peeling layers of risk oW of your particular onion until\nthe VCs say “yes” — until the risk in your startup is reduced to\nthe point where investing in your startup doesn’t look terrifying\nand merely looks risky.\nWhat are the layers of risk for a high-tech\nstartup?\nIt depends on the startup, but here are some of the common\nones:']","The analogy used to describe the layers of risk in a startup investment is that of peeling an onion. Just like peeling away layers of an onion, risk in a startup investment comes in layers that get reduced one by one.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 16, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
7,How can Structured Procrastination be used to one's advantage in getting things done?,"['like?\nStructured procrastination\nThis is a great one.\nThis one is liaed straight from the genius mind of John Perry,\na philosophy professor at Stanford. (Read his original descrip-\ntion, by all means. You even get to see a photo of him practicing\njumping rope with seaweed on a beach while work awaits. Out-\nstanding.)\nThe gist of Structured Procrastination is that you should never\nXght the tendency to procrastinate — instead, you should use it\nto your advantage in order to get other things done.\nGenerally in the course of a day, there is something you have to']","Structured Procrastination suggests that instead of fighting the tendency to procrastinate, individuals should embrace it and use it to their advantage by getting other tasks done while procrastinating on a main task. By channeling this tendency effectively, individuals can accomplish other important tasks and maintain productivity.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 135, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
8,How is the quality of a startup's product defined in the context of the tech industry?,"['Let’s start by deXning terms.\nThe caliber of a startup team\nteam can be deXned as the suitability of\nthe CEO, senior staW, engineers, and other key staW relative to\nthe opportunity in front of them.\nYou look at a startup and ask, will this team be able to optimally\nexecute against their opportunity? I focus on eWectiveness as\nopposed to experience, since the history of the tech industry is\nfull of highly successful startups that were staWed primarily by\npeople who had never “done it before”.\nThe quality of a startup’s pr\nproduct\noduct can be deXned as how impres-']","The quality of a startup's product in the tech industry is defined by how impressive it is in meeting the needs of its target market and how well it performs relative to competitors. This definition focuses on the product's functionality, user experience, innovation, and overall value proposition.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 30, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
9,What role can a campus computer lab play in helping undergraduates gain real-world working experience before graduation?,"['undergrads to do some of the work, and being a staW member at\na campus computer lab or research lab.\nAnd then aggressively pursue internship and co-op programs — to\nget real-world working experience at companies in your Xeld,\nbefore you even graduate. Target the best companies in your\nXeld, and go aaer the opportunities early and oaen.\nIf you do this right, by the time you graduate even with just an\nundergrad degree, you can have a year and a half of real work-\ning experience at high-quality companies plus another four\nyears of practical experience from an on-campus job under\nyour belt.\n110']","A campus computer lab can play a role in helping undergraduates gain real-world working experience by allowing them to work as staff members, providing opportunities for internships and co-op programs, and offering practical experience before graduation.",simple,"[{'source': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'file_path': 'https://d1lamhf6l6yk6d.cloudfront.net/uploads/2021/08/The-pmarca-Blog-Archives.pdf', 'page': 114, 'total_pages': 195, 'format': 'PDF 1.3', 'title': 'The Pmarca Blog Archives', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'Mac OS X 10.10 Quartz PDFContext', 'creationDate': ""D:20150110020418Z00'00'"", 'modDate': ""D:20150110020418Z00'00'"", 'trapped': ''}]",True
